County,District,Sex,Age,Religion,Education,Years,Households,Have you had MoH approved training on COVID-19?,Have you been involved in educating the community on COVID-19?,Your main source of Income,Have you attended a course where COVID-19 vaccination was discussed?,"Do you have access to COVID-19 vaccination materials (literature, IEC materials) for quick reference when necessary?",Do you have a designated person with knowledge on COVID-19 vaccination whom you can consult when you have a question on COVID-19 vaccination?,Concerning how the COVID-19 vaccines work to prevent infection,To what extent do you think you are well-informed enough about COVID-19 vaccine to sensitize your family/ community members?,Do you know what the COVID-19 vaccine contains?,What should the people who have received the COVID-19 vaccine do?,The effectiveness of COVID-19 vaccines in preventing infection:,People who have already suffered COVID-19 infection:,ACQ1: Attitude on Contextual Influences,ACQ2: Attitude on Contextual Influences,ACQ3: Attitude on Contextual Influences,ACQ4: Attitude on Contextual Influences,ACQ5: Attitude on Contextual Influences,ACQ6: Attitude on Contextual Influences,ACQ7: Attitude on Contextual Influences,AIQ1: Attitude on Individual and Group Influences,AIQ12: Attitude on Individual and Group Influences,AIQ3: Attitude on Individual and Group Influences,AIQ4: Attitude on Individual and Group Influences,AIQ5: Attitude on Individual and Group Influences,AIQ6: Attitude on Individual and Group Influences,AVSQ1: Attitude on Vaccine safety and vaccination specific issues,AVSQ2: Attitudeon  Vaccine safety and vaccination specific issues,AVSQ3: Attitude on Vaccine safety and vaccination specific issues,AVSQ4: Attitude on Vaccine safety and vaccination specific issues,AVSQ5: Attitude on Vaccine safety and vaccination specific issues,AVSQ6: Attitude on Vaccine safety and vaccination specific issues,Source,Information
Nairobi,Westlands,Female,Above 35 years,Protestant,Primary,Less than 3 years,More than 50,Yes,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should not get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not at all,I don’t have any concerns about the COVID-19 vaccine,Not at all,Social media,Fellow health workers
Nairobi,Westlands,Female,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,Yes,Yes,Yes,I do not know how the vaccines work,Not at all,Yes,I do not know,I do not know,Should not get the COVID-19 vaccine,Community meetings,Other (Explain),No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Not at all,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Community meetings,Other
Nairobi,Westlands,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,CHV work,No,Yes,Yes,I do not know how the vaccines work,Not at all,Yes,I do not know,I do not know,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Somewhat,"6,7",Don't know,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,25-35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should not get the COVID-19 vaccine,"1,2",Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Not too much,Social media/Radio/TV,Fellow health workers
Nairobi,Westlands,Female,25-35 years,Protestant,Secondary,3-5 years,21-50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Protestant,Primary,3-5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,"1,2",Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Very much,Social media/Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,I do not know,Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Not too much,The COVID-19 vaccine might be very expensive for many people to afford,Somewhat,Social media,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Protestant,Primary,Less than 3 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,"2,4",Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Not too much,Radio/TV/IEC/Community meeting,Fellow health workers
Nairobi,Kasarani,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Other (Explain),No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV,Other
Nairobi,Kasarani,Female,Above 35 years,Protestant,Others,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Other (Explain),"3,4",No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV/IEC/Community meeting,Fellow health workers
Nairobi,Kasarani,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Not at all,No,"Do not have to wear masks, social distance or wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Others,Primary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,Should get the COVID-19 vaccine,"1,2",Fellow health workers,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,The ingredients used to make the COVID-19 vaccine are unsafe,Somewhat,Social media/Radio/TV,Fellow health workers
Nairobi,Langata,Other,25-35 years,Protestant,Primary,Above 5 years,21-50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,Social media,Other (Explain),No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Don't know,I don’t have any concerns about the COVID-19 vaccine,Don't know,Social media,Other
Nairobi,Langata,Male,18-24 years,Catholic,Secondary,3-5 years,21-50,Yes,No,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Large extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,IEC materials from MoH,Internet,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not too much,People cannot be vaccinated for a disease they do not have,Not too much,IEC materials,Internet
Nairobi,Kasarani,Male,18-24 years,Catholic,Others,Less than 3 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Social media,Fellow health workers
Nairobi,Langata,Male,Above 35 years,Catholic,Secondary,Above 5 years,21-50,Yes,Yes,Other non-formal employment,Yes,Yes,Yes,I can explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,IEC materials from MoH,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Very much,The COVID-19 vaccine might be very expensive for many people to afford,Very much,IEC materials,Fellow health workers
Nairobi,Kasarani,Male,Above 35 years,Catholic,Others,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,I do not know,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,The vaccine might cause chronic diseases,Somewhat,Radio/TV,Fellow health workers
Nairobi,Kasarani,Male,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,"2,1",Other (Explain),No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Social media/Radio/TV,Other
Nairobi,Westlands,Male,18-24 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,Yes,Yes,I do not know how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,"6,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Langata,Male,18-24 years,Protestant,Others,Less than 3 years,21-50,Yes,Yes,CHV work,Yes,Yes,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Very much,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Very much,"1,8,9",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,Above 35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,Above 35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Very much,I don’t have any concerns about the COVID-19 vaccine,Very much,Radio/TV,Fellow health workers
Nairobi,Kasarani,Male,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,"2,4",Other (Explain),No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV/IEC/Community meeting,Other
Nairobi,Westlands,Male,Above 35 years,Protestant,Others,Above 5 years,More than 50,Yes,Yes,Other formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Kasarani,Male,25-35 years,Protestant,Others,Less than 3 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Other (Explain),No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Somewhat,The COVID-19 vaccine might be very expensive for many people to afford,Somewhat,Radio/TV,Other
Nairobi,Kasarani,Male,25-35 years,Protestant,Secondary,3-5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Other (Explain),No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Not too much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Very much,Radio/TV,Other
Nairobi,Kasarani,Male,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,"2,4",Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,Vaccines are not tested enough for safety,Somewhat,Radio/TV/IEC/Community meeting,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Others,Secondary,Less than 3 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Others,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Others,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Average extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Social media,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Others,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Average extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Social media,Fellow health workers
Nairobi,Westlands,Male,25-35 years,Others,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Average extent,Yes,"Do not have to wear masks, social distance or wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Friends/relatives,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Radio/TV,Friends/relatives
Nairobi,Westlands,Male,Above 35 years,Others,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Very much,I don’t have any concerns about the COVID-19 vaccine,Very much,Radio/TV,Fellow health workers
Nairobi,Westlands,Male,Above 35 years,Others,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Average extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Social media,Fellow health workers
Nairobi,Langata,Male,Above 35 years,Others,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,Yes,No,Yes,I can explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not too much,Social media,Fellow health workers
Nairobi,Langata,Male,25-35 years,Others,Others,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I can explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,"1,4","2,3",No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Somehow confident,Don't know,I don’t have any concerns about the COVID-19 vaccine,Don't know,Social media/Radio/TV/IEC/Community meetings,Internet
Nairobi,Embakasi West,Male,Above 35 years,Others,Others,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I can explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,Vaccines are not tested enough for safety,Somewhat,Social media,Fellow health workers
Nairobi,Westlands,Female,18-24 years,Catholic,Others,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,25-35 years,Catholic,Others,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Average extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not at all,"1,8",Somewhat,Social media,Fellow health workers
Nairobi,Westlands,Female,25-35 years,Catholic,Others,Less than 3 years,More than 50,Yes,Yes,CHV work,Yes,No,Yes,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Very much,"7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,25-35 years,Catholic,Others,3-5 years,More than 50,Yes,Yes,CHV work,No,Yes,Yes,I can explain to the community how the vaccines work,Large extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,IEC materials from MoH,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Not too much,"7,8",Very much,IEC materials,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,Yes,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,"1,5",Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,The ingredients used to make the COVID-19 vaccine are unsafe,Somewhat,Social media/Radio/TV/IEC/Community meetings,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Very much,Radio/TV,Fellow health workers
Nairobi,Embakasi West,Female,Above 35 years,Catholic,Primary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,"1,2",Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Very much,Social media/Radio/TV,Fellow health workers
